受渡日,時刻コード,売り入札量(kWh),買い入札量(kWh),約定総量(kWh),システムプライス(円/kWh),エリアプライス北海道(円/kWh),エリアプライス東北(円/kWh),エリアプライス東京(円/kWh),エリアプライス中部(円/kWh),エリアプライス北陸(円/kWh),エリアプライス関西(円/kWh),エリアプライス中国(円/kWh),エリアプライス四国(円/kWh),エリアプライス九州(円/kWh),売りブロック入札総量(kWh),売りブロック約定総量(kWh),買いブロック入札総量(kWh),買いブロック約定総量(kWh)
2023/4/2,12,20900500,13885900,11649500,13.02,14.31,14.31,14.31,10.94,10.94,10.94,10.94,10.94,10.94,8023800,394700,1830350,1830350
2023/4/2,13,20573300,12261450,10541650,11.93,14.23,14.23,14.23,11.95,11.95,11.95,11.95,11.95,11.95,8318600,144550,1779700,1779700
2023/4/2,14,22477850,11859000,10790650,9.4,10.35,10.35,10.35,8.82,8.82,8.82,8.82,8.82,8.82,9210050,144550,1462000,1462000
2023/4/2,15,24835650,11305500,10795800,3,10,10,10,1,1,1,1,1,1,10303650,144750,1057050,1057050
2023/4/2,16,27259400,10961950,10669000,0.01,6,6,6,0.01,0.01,0.01,0.01,0.01,0.01,11300300,144900,835300,835300
2023/4/2,17,28821600,10941500,10763200,0.01,4.65,4.65,4.65,0.01,0.01,0.01,0.01,0.01,0.01,12057200,145750,382600,382600
2023/4/2,18,29918850,10408250,10357650,0.01,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,12610350,145950,364000,364000
2023/4/2,19,31888000,10603700,10603700,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,13190200,146300,344500,344500
2023/4/2,20,33391800,10509050,10509050,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13410650,146900,199500,199500
2023/4/2,21,34651600,10377400,10377400,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13348550,147100,256500,256500
2023/4/2,22,35520200,10340300,10340300,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13532450,147550,281500,281500
2023/4/2,23,36101050,10026700,10026700,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13685750,147700,237500,237500
2023/4/2,24,36351200,9832250,9832250,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,13810300,147500,155000,155000
2023/4/2,25,36506900,9877400,9877400,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14199000,147600,285000,285000
2023/4/2,26,36409000,10101450,10101450,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14296700,147600,308000,308000
2023/4/2,27,36333250,10360150,10360150,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14491950,147600,229500,229500
2023/4/2,28,35781300,10089950,10089950,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14516100,147550,202000,202000
2023/4/2,29,34553100,9802000,9802000,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14312350,147300,207500,207500
2023/4/2,30,33031250,9835250,9835250,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,14035700,146800,217000,217000
2023/4/2,31,31727900,10583550,10527900,0.01,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,13286500,146100,342450,337400
2023/4/2,32,29836900,10474500,10291900,0.01,5,5,5,0.01,0.01,0.01,0.01,0.01,0.01,12495700,145500,449000,428900
2023/4/2,33,27221800,11076400,10631850,0.01,10,10,10,0.01,0.01,0.01,0.01,0.01,0.01,11088350,144850,592200,572100
